title,company,date,location
Հաշվապահ,Անդակո ՍՊԸ,20 May 2023,Yerevan
UI/UX designer Yerevan,Ithire,20 May 2023,Yerevan
Վաճառքի մասնագետ,SmartCentre,20 May 2023,Artashat
Իրավաբան՝  «Զինծառայողների ապահովագրության հիմնադրամի» համար,818 Consulting,30 April 2023,Yerevan
Preseller,A  M Rare,20 May 2023,Yerevan
sales manager,SOLAR CENTRE LLC,20 May 2023,Yerevan
Շուկայի զարգացման պատասխանատու,Սլադո Ֆուդ  ՍՊԸ,20 May 2023,Yerevan
Call center,ARMENIAN IMMIGRATION CENTER,20 May 2023,Yerevan
Senior C#/.Net developer,SoftLand LLC,20 May 2023,Yerevan
Кладовщик,СПОРТМАСТЕР,20 May 2023,Yerevan
Marketing and Communications Department Intern,AMX,05 May 2023,Yerevan
Sales assistant,A.M.P GROUP,20 May 2023,Yerevan
Fullstack PHP Developer,Quittlix,20 May 2023,Yerevan
Նախագծի ղեկավար,SIL Capital,20 May 2023,Yerevan
Գլխավոր հաշվապահ,Yerevan Jewellery Factory CJSC,20 May 2023,Yerevan
Վաճառքի բաժնի ղեկավար,«Մելանտա» ՍՊԸ,20 May 2023,Yerevan
Accountant,HAEKSHIN CJSC,20 May 2023,Yerevan
SMM մասնագետ,Bacon Product LLC,20 May 2023,Abovyan
Sales manager/Medical Representative,SZ Pharma,20 May 2023,Yerevan
Marketing / Fundraising Officer,WWF-Armenia,05 May 2023,Yerevan
Իրացվելիության կառավարման բաժնի մասնագետ,ՀԱՅԷԿՈՆՈՄԲԱՆԿ ԲԲԸ,20 May 2023,Yerevan
Հաշվապահ,Parvanyan Consulting LLC,20 May 2023,Tsaghkadzor
Customer support specialist - (Mixed shift) French,iBooben Development,20 May 2023,Yerevan
Customer support specialist - (Mixed shift) Turkish,iBooben Development,20 May 2023,Yerevan
Ինժեներ-շինարար,S T SERVICE LLC,20 May 2023,Yerevan
Systems Monitoring Specialist (night shift),Acba Bank OJSC,18 May 2023,Yerevan
Մաքսային ձևակերպումների մասնագետ,SAS Group,20 May 2023,Yerevan
Senior/Lead Java Developer/Architect,IU Networks LLC,20 May 2023,Yerevan
1C ԾՐԱԳՐԵՐԻ ԽՈՐՀՐԴԱՏՈՒ,InfoExpert LLC,20 May 2023,Yerevan
Telephone Survey Specialist,Adjarabet.am,20 May 2023,Yerevan
Շինարար-ինժեներ,Partner Company,20 May 2023,Yerevan
Արտադրամասի մեխանիկ,Partner Company,20 May 2023,Yerevan
Managed Accounts Portfolio Admnistrator,Praemium RA LLC,20 May 2023,Yerevan
National Capacity Building Expert / WPA,American University of Armenia Fund,03 May 2023,Yerevan
Accountant,Գլոբալ Քոննեքթ ՓԲԸ,20 May 2023,Yerevan
Customer Advisor,Globbing,20 May 2023,Yerevan
Cabin Crew (Բորտուղեկցորդ/ուհի),Fly Arna,20 May 2023,Yerevan
Health Insurance Claims Specialist,"LIGA INSURANCE” ICJSC Former ""RGS-ARMENIA"" ICJSC",19 May 2023,Yerevan
"Հաճախորդների սպասարկման մասնագետ, ք. Երևան",VTB Bank (Armenia),19 May 2023,Yerevan
Customer Support Agent,Hosteeva LLC,19 May 2023,Yerevan
Teachers of the training center (accounting),Հայաստանի Հաշվապահների Ասոցիացիա,19 May 2023,Yerevan
Exams Assistant,British Council Armenia,04 May 2023,Yerevan
Group Financial Audit Specialist,SoftConstruct,03 May 2023,Yerevan
Middle Python Developer,OMD Armenia LLC,19 May 2023,Yerevan
Junior Technical Recruiter / Intern,DevsData LLC,19 May 2023,Warsaw                                            (Remote)
Executive Secretary,SoftConstruct,19 May 2023,Yerevan
Sales/Marketing Specialist,Fort Arena,19 May 2023,Yerevan
Sales Specialist,EURO TRUCK LLC,19 May 2023,Yerevan
Spare Parts Specialist,EURO TRUCK LLC,19 May 2023,Yerevan
"Ավտոմեխանիկ՝ շարժիչի մասնագետ, փոխանցման տուփի մասնագետ, անվաբացք-զուգամիտման /сход-развал/ մասնագետ, բոցամուղների ինժեներ մեխանիկ, ավտոէլեկտրիկ",EURO TRUCK LLC,19 May 2023,Yerevan
Warranty Manager,EURO TRUCK LLC,19 May 2023,Yerevan
Հաշվետար,EURO TRUCK LLC,19 May 2023,Yerevan
Account Manager (English and Turkish languages),SoftConstruct,18 May 2023,Yerevan
Account Manager (English and Spanish languages),SoftConstruct,18 May 2023,Yerevan
SMM specialist,Թայմլես ՍՊԸ,19 May 2023,Yerevan
Լաբորանտ,Yerevan Jewellery Factory CJSC,19 May 2023,Yerevan
Տնօրենի օգնական,Yerevan Jewellery Factory CJSC,19 May 2023,Yerevan
Machine Learning Operations Engineer,AeroDynamics,19 May 2023,Yerevan
Technologist,Jermuk International Pepsi-Cola Bottler LLC,19 May 2023,Yerevan
Պահեստապետի օգնական,Yerevan Jewellery Factory CJSC,19 May 2023,Yerevan
"""Business Communication"" Course Instructor, AUA OE",American University of Armenia Fund,03 May 2023,Gyumri
sales manager,LiftTech,19 May 2023,Yerevan
